Accuracy,loss,,,,,Accuracy,loss,,,,,Accuracy,loss,,,,,Accuracy,loss,,,
0.453125,0.012350088,,0.950157071,0.000752301,,0.391304344,0.01380704,,0.74075,0.00438,,0.467826098,0.012736515,,0.839692359,0.002800022,,0.407986104,0.014474498,,0.741110504,0.004636433
0.448437512,0.01238548,,0.943410888,0.000768518,,0.392801255,0.013860852,,0.75707,0.00438,,0.461658835,0.01279132,,0.874346857,0.002144272,,0.409375012,0.014300869,,0.728407249,0.004742
0.4375,0.012520903,,0.945908005,0.000812611,,0.398293018,0.013702158,,0.72514,0.00497,,0.456614494,0.012695265,,0.844846462,0.002347367,,0.410511374,0.014118194,,0.771110669,0.004468514
0.444589287,0.012460382,,0.953716377,0.000764851,,0.3963494,0.013609934,,0.76341,0.0045,,0.447196871,0.012778922,,0.819266637,0.003498997,,0.419817477,0.013989444,,0.777182082,0.004450078
0.546875,0.010486296,,0.876869564,0.001782424,,0.421875,0.01560039,,0.7502,0.00459,,0.484375,0.013863352,,0.843261793,0.002379338,,0.328125,0.014015127,,0.80520695,0.003568494
0.515625,0.010629239,,0.823159357,0.003797989,,0.4140625,0.014494885,,0.75074,0.00485,,0.4609375,0.014211951,,0.918971548,0.001627438,,0.3828125,0.013330969,,0.842777977,0.003276753
0.510416687,0.01114958,,0.677774325,0.005529078,,0.40625,0.013774326,,0.74824,0.00517,,0.463541687,0.013522952,,0.892354528,0.001635239,,0.390625,0.013155412,,0.834424312,0.003295752
0.5078125,0.011033562,,0.756555647,0.00465013,,0.390625,0.013755035,,0.76579,0.00475,,0.46274513,0.0131522,,0.885537331,0.001644208,,0.3828125,0.014065366,,0.811729163,0.003300717
0.509375036,0.011367167,,0.865901485,0.002560942,,0.393750012,0.013168333,,0.80232,0.00438,,0.460815042,0.012853349,,0.871393959,0.001763099,,0.365624994,0.013994817,,0.814142471,0.003291398
0.505208373,0.011079237,,0.903362696,0.001652,,0.3984375,0.013054317,,0.76789,0.00437,,0.462141007,0.012865107,,0.829227413,0.002495851,,0.388020843,0.013562448,,0.809385826,0.003357682
0.479910731,0.011594341,,0.952385167,0.001049418,,0.401785731,0.013010343,,0.76947,0.00448,,0.465324402,0.012498809,,0.836300701,0.00269029,,0.388392866,0.013624977,,0.768475235,0.003510021
0.466796875,0.011765873,,0.950237811,0.000937911,,0.40234375,0.012930732,,0.73991,0.00489,,0.469667315,0.012365565,,0.886273618,0.001593381,,0.40234375,0.013575877,,0.754526913,0.003622544
0.458333343,0.01164219,,0.964749853,0.000750866,,0.406956524,0.012915225,,0.72463,0.00522,,0.474782616,0.012232113,,0.894078458,0.00145065,,0.409722239,0.013739356,,0.697265625,0.003949925
0.453125,0.011692745,,0.972359518,0.000636158,,0.408450693,0.012992428,,0.77957,0.00438,,0.471048504,0.012239757,,0.959334706,0.000986107,,0.409375012,0.013583931,,,
0.446022749,0.011802911,,0.977501904,0.000561553,,0.412517786,0.012820998,,0.78749,0.00439,,0.472261727,0.012115153,,0.918846975,0.001135685,,0.409090936,0.013403359,,,
0.45893088,0.011752223,,0.98656712,0.000498079,,0.411994785,0.01273323,,0.80625,0.00413,,0.461538464,0.012198152,,0.944850286,0.000945854,,0.42112124,0.013263524,,,
0.578125,0.009834241,,0.993568167,0.000444688,,0.4375,0.014503356,,0.78485,0.00449,,0.515625,0.012978131,,0.926659008,0.001064451,,0.328125,0.013477511,,,
