Accuracy,loss,,,,,Accuracy,loss,,,,,Accuracy,loss,,,,,Accuracy,loss,,,
0.450000018,0.012962869,,0.875256524,0.0015477,,0.454545438,0.012986988,,0.860496476,0.00245427,,0.346875012,0.014433631,,0.83829,0.00326,,0.382445127,0.014560779,,0.994326964,0.000645196
0.447916687,0.012802428,,0.902265375,0.001371927,,0.451697141,0.013043507,,0.912955945,0.00154492,,0.3515625,0.01426908,,0.82847,0.00338,,0.381201059,0.01463104,,0.995658174,0.000633252
0.446428597,0.012844913,,0.965991855,0.000758709,,0.438478738,0.013082965,,0.892595341,0.001496716,,0.348993301,0.014392138,,0.80436,0.00344,,0.395973146,0.014533906,,0.995658174,0.000622893
0.4453125,0.012708558,,0.96443297,0.000672137,,0.432485312,0.013580513,,0.889670278,0.001398049,,0.362035215,0.014213209,,0.81294,0.00344,,0.39138943,0.014355152,,0.995658174,0.00061467
0.453125,0.012618097,,0.98746938,0.000543162,,0.431304365,0.013545743,,0.888926715,0.001486139,,0.356521755,0.014383115,,0.82262,0.00339,,0.393043488,0.014255651,,0.996727789,0.000611067
0.448437512,0.012706068,,0.988832812,0.000432096,,0.424100161,0.013760427,,0.875728314,0.001626329,,0.344287932,0.014627092,,0.81642,0.00341,,0.392801255,0.014061767,,0.996727789,0.000611169
0.447443187,0.012667648,,0.98360996,0.000427005,,0.433854908,0.013794136,,0.863608211,0.001740438,,0.339971542,0.014838514,,0.79555,0.00357,,0.398293018,0.01396927,,0.996727789,0.000615343
0.451108217,0.012625349,,0.990486443,0.000369873,,0.438070387,0.013575976,,0.898196191,0.001454354,,0.333767921,0.01476658,,0.76363,0.00382,,0.402868301,0.013881373,,0.992680723,0.000622238
0.53125,0.011399036,,0.98714146,0.000393702,,0.5625,0.011914622,,0.945457692,0.001031285,,0.359375,0.013995192,,0.72797,0.00432,,0.53125,0.012100231,,0.991828685,0.000628967
0.4296875,0.013443084,,0.987124081,0.000382159,,0.453125,0.013413512,,0.958258987,0.000873493,,0.3046875,0.0148431,,0.72915,0.00449,,0.46875,0.01390624,,0.991828685,0.000642115
0.453125,0.012666945,,0.987124081,0.000372311,,0.463541687,0.012866109,,0.951383169,0.000827601,,0.348958343,0.01466707,,0.7034,0.00518,,0.413612574,0.01504198,,0.991163085,0.000663157
0.4453125,0.012700905,,0.988777712,0.000366252,,0.474509835,0.012453715,,0.948323086,0.000820348,,0.375,0.014341919,,0.66831,0.00672,,0.43921572,0.014186963,,0.991054436,0.000681898
0.456250012,0.012418622,,0.986039013,0.000376263,,0.457680225,0.012656802,,0.966045708,0.000822862,,0.365624994,0.014258319,,0.66398,0.0061,,0.438871473,0.014297572,,0.989886299,0.00070914
0.453125,0.012234601,,0.983951355,0.000375558,,0.456919074,0.012730382,,0.968231832,0.000786422,,0.3671875,0.014110317,,0.68346,0.00532,,0.436031342,0.014342302,,0.979849776,0.000776544
0.45312503,0.012278187,,0.986025388,0.000365111,,0.449664444,0.012761443,,0.96611093,0.000739683,,0.362416118,0.01420305,,0.78091,0.00394,,0.44295302,0.014205067,,0.966774911,0.000891785
0.455078125,0.012160945,,0.991865183,0.000352619,,0.442270041,0.013228251,,0.969557156,0.000699966,,0.373776913,0.014015753,,0.79555,0.00366,,0.436399221,0.014040891,,0.946038067,0.001034159
0.461805552,0.012061665,,0.988326306,0.000364605,,0.436521739,0.013226608,,0.97122782,0.000661327,,0.366956532,0.014170182,,0.77514,0.00392,,0.434782624,0.013940118,,0.911843528,0.001276172
0.459374994,0.012124945,,0.980930547,0.000411791,,0.42723003,0.01345099,,0.974636143,0.000618975,,0.35367763,0.014409969,,0.75493,0.00404,,0.433489829,0.013735733,,0.843629291,0.002207686
0.461647749,0.012127484,,0.985839377,0.000409361,,0.438122332,0.013456588,,0.976324593,0.000577366,,0.348506391,0.014602256,,0.67024,0.00669,,0.436699867,0.013622796,,0.800476333,0.00353384
0.46544981,0.012066245,,0.982079024,0.000410729,,0.443285525,0.013246951,,0.978416264,0.000545842,,0.341590613,0.01453402,,0.74668,0.00511,,0.439374179,0.013528354,,0.759826367,0.004359967
0.515625,0.010793836,,0.964949812,0.00046053,,0.5625,0.011379424,,0.980249638,0.000523891,,0.359375,0.013723323,,0.81494,0.00445,,0.484375,0.011605024,,0.767454917,0.00436557
0.4296875,0.012894233,,0.865869636,0.002009429,,0.453125,0.01309206,,0.980249638,0.000506734,,0.34375,0.014606804,,0.80501,0.0042,,0.4609375,0.013466819,,0.705866297,0.005572684
0.473958343,0.01212561,,0.912297239,0.001326409,,0.473958343,0.012590369,,0.982264891,0.000492426,,0.375,0.014494576,,0.82683,0.00394,,0.413612574,0.014617092,,0.87387154,0.002291901
0.46875,0.012134954,,0.868167177,0.002005239,,0.482352972,0.012159478,,0.982767423,0.000480279,,0.3984375,0.014158878,,0.82124,0.00388,,0.43921572,0.013699864,,0.901552707,0.001652621
0.478125006,0.011868126,,0.94271494,0.00101249,,0.460815042,0.012395255,,0.982767423,0.000469313,,0.396874994,0.014040885,,0.82456,0.00385,,0.438871473,0.013801896,,0.89691182,0.001496931
