Accuracy,loss,,,,,,Accuracy,loss,,,,,,,Accuracy,loss,,,,,Accuracy,loss,,,
0.467084616,0.011941294,,,0.899886241,0.001553556,,0.471354187,0.012362234,,0.875601694,0.001836848,,,,0.38381201,0.013667783,,0.787412787,0.00439773,,0.441253275,0.013067546,,0.861185491,0.003243827
0.449086159,0.012140434,,,0.865653604,0.001776091,,0.454138696,0.012760776,,0.840056529,0.002090807,,,,0.387024611,0.013472852,,0.782828902,0.004339981,,0.445190161,0.012875281,,0.861185491,0.003213484
0.46085012,0.01197633,,,0.821013704,0.00247135,,0.452054799,0.012574622,,0.814781656,0.002331531,,,,0.399217218,0.013248366,,0.772678261,0.004101877,,0.436399221,0.01280111,,0.864392981,0.003185255
0.461839527,0.011964221,,,0.756515811,0.00371167,,0.44869566,0.012566522,,0.821740483,0.00271531,,,,0.412173927,0.013137963,,0.798266724,0.003899729,,0.420869589,0.012811081,,0.866486927,0.00315809
0.459130436,0.012022374,,,0.762708093,0.005443362,,0.447574317,0.012493641,,0.778697446,0.003239011,,,,0.420970261,0.013078238,,0.835036993,0.003683766,,0.414710492,0.012968893,,0.866650005,0.003132181
0.463223785,0.011698394,,,0.827987557,0.002452119,,0.443812221,0.012312542,,0.849397639,0.0025432,,,,0.41963014,0.012985971,,0.857103094,0.003485803,,0.421052635,0.012886319,,0.864914785,0.00310898
0.465149343,0.011772691,,,0.777413468,0.003322223,,0.444589287,0.0124795,,0.890600706,0.001625301,,,,0.423728794,0.012968709,,0.855518267,0.003413596,,0.419817477,0.012838295,,0.860099494,0.003089959
0.468057364,0.011728098,,,0.720916092,0.004770978,,0.53125,0.011165964,,0.90488561,0.001498432,,,,0.359375,0.013139599,,0.854305024,0.003427645,,0.5625,0.011527383,,0.862684359,0.003074569
0.515625,0.008695891,,,0.584246064,0.009896466,,0.5234375,0.011214926,,0.913609842,0.001351812,,,,0.3671875,0.013066532,,0.84785748,0.003419026,,0.511811018,0.011742102,,0.860304202,0.003059762
0.5546875,0.00984918,,,0.74804233,0.00372813,,0.5,0.011509092,,0.932893455,0.00106585,,,,0.36125654,0.013324763,,0.850939885,0.00339603,,0.497382194,0.012078345,,0.857748091,0.003042934
0.513089001,0.011109096,,,0.850510905,0.002855691,,0.47265625,0.012204406,,0.914731349,0.001200128,,,,0.384313762,0.012865186,,0.855841661,0.003350511,,0.48627454,0.012402576,,0.862017582,0.00302605
0.505882382,0.010767449,,,0.817716941,0.002620154,,0.487500012,0.011936948,,0.937526713,0.001021261,,,,0.388714731,0.012956617,,0.858673831,0.003313871,,0.49529779,0.011952413,,0.866069774,0.003014828
0.485893399,0.011116903,,,0.818779017,0.002548451,,0.484375,0.011780406,,0.922345777,0.001181512,,,,0.396866858,0.012803077,,0.857018302,0.003285565,,0.477806807,0.012285855,,0.87300994,0.003013259
0.48302874,0.011238539,,,0.860517691,0.002017189,,0.46085012,0.012190785,,0.954022691,0.000972022,,,,0.398210287,0.012673232,,0.859795933,0.00327704,,0.485458612,0.01209227,,0.870259821,0.003018133
0.498881429,0.011056507,,,0.867485911,0.00195704,,0.467710376,0.011987308,,0.925227791,0.001139925,,,,0.409001946,0.012443521,,0.860647971,0.003272517,,0.481409013,0.012018899,,0.868701791,0.00302772
0.49902153,0.011088365,,,0.850769723,0.002034285,,0.459130436,0.012001028,,0.957243572,0.000850983,,,,0.419130445,0.012333935,,0.861857603,0.003276112,,0.462608695,0.012005574,,0.869367396,0.003031998
0.495652199,0.011146993,,,0.844973202,0.002001598,,0.452269167,0.011968246,,0.944472288,0.000974268,,,,0.420970261,0.012298686,,0.860154668,0.003279644,,0.453834116,0.012155275,,0.868854374,0.003056613
0.50234741,0.010851907,,,0.850369493,0.002203817,,0.44950214,0.011810538,,0.952770392,0.000814802,,,,0.4224751,0.012234807,,0.856231441,0.003289053,,0.456614494,0.01208138,,0.872924263,0.003065517
0.503556192,0.010922871,,,0.863124972,0.002075859,,0.448500633,0.011969916,,0.939539159,0.001111644,,,,0.42764014,0.012226529,,0.851051976,0.003302642,,0.453715771,0.012075748,,0.864667664,0.003482544
0.501955688,0.010867203,,,0.890165493,0.001713159,,0.5625,0.010496263,,0.940680772,0.000925386,,,,0.40625,0.012143426,,0.843758424,0.003322106,,0.5625,0.011004061,,0.8555291,0.003176607
0.59375,0.007912833,,,0.883152083,0.001664668,,0.5390625,0.010617698,,0.915915092,0.001253634,,,,0.4296875,0.012145638,,0.843043218,0.003349239,,0.527559042,0.010971225,,0.866633986,0.003116899
0.578125,0.008944454,,,0.866790478,0.001765662,,0.515625,0.010865409,,0.887219787,0.001757204,,,,0.403141379,0.012531775,,0.825592379,0.003388114,,0.507853389,0.011216425,,0.849297027,0.003182037
0.534031391,0.010183328,,,0.862865905,0.001848475,,0.48046875,0.011537745,,0.867106269,0.001783151,,,,0.415686309,0.012099745,,0.812446803,0.003445644,,0.501960814,0.011635329,,0.865565797,0.003040525
0.533333361,0.009886662,,,0.861953363,0.00178516,,0.493750006,0.011326831,,0.867471799,0.00184129,,,,0.413793087,0.012276457,,0.800105924,0.003534102,,0.510971785,0.011227739,,0.859232709,0.003153834
0.520376146,0.010262887,,,0.887696688,0.001574982,,0.494791687,0.011222351,,0.87331443,0.001892183,,,,0.428198427,0.012084719,,0.792058845,0.00366515,,0.490861624,0.011508051,,0.866690427,0.003115893
0.522193193,0.010325018,,,0.946613535,0.001057871,,0.472035795,0.011612295,,0.864933088,0.001731269,,,,0.429530203,0.012014421,,0.780474131,0.003821971,,0.501118541,0.011301311,,0.857517198,0.003215244
0.530201316,0.010159157,,,0.952755426,0.001064945,,0.481409013,0.011430521,,0.8104821,0.00292768,,,,0.438356161,0.011797277,,0.742823988,0.004166446,,0.49706459,0.011237091,,0.851297985,0.003250935
0.528375745,0.010190747,,,0.950061286,0.000994238,,0.480000019,0.011424327,,0.830829193,0.003292894,,,,0.44869566,0.011706979,,0.665061747,0.00593562,,0.481739134,0.011239774,,0.856202493,0.003187446
0.526956558,0.010268996,,,0.945572163,0.00102131,,0.477308303,0.011367372,,0.796937729,0.003485302,,,,0.447574317,0.011682392,,0.544577196,0.010458347,,0.472613454,0.011393344,,0.726993397,0.004850662
0.536776185,0.009999673,,,0.941806003,0.001023608,,0.475106686,0.011237156,,0.811027984,0.002552528,,,,0.448079646,0.011640279,,0.510739182,0.012544298,,0.476529151,0.011317494,,0.703549976,0.008237029
0.537695587,0.010068546,,,0.931822141,0.001081718,,0.46544981,0.011368229,,0.845228543,0.002056805,,,,0.451108217,0.011642017,,0.614593799,0.007841123,,0.475880057,0.011334267,,0.66065675,0.006687413
0.537157774,0.009999628,,,0.928769097,0.001137384,,0.59375,0.009989558,,0.825360591,0.002913862,,,,0.40625,0.011320174,,0.668288464,0.006151445,,0.546875,0.010219626,,0.771948804,0.004700455
0.59375,0.007223928,,,0.91812481,0.001277581,,0.5625,0.010104523,,0.812748854,0.004624555,,,,0.4296875,0.011347383,,0.747341563,0.004931975,,0.543307066,0.010296552,,0.733565256,0.004621534
0.578125,0.00807967,,,0.903875987,0.001524511,,0.552083373,0.010164209,,0.762432083,0.003976899,,,,0.403141379,0.011806384,,0.768385818,0.004576698,,0.523560226,0.010541711,,0.850491022,0.00351724
